Year,ICPSR State Code,Alphanumeric State Code,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2012,35,28,Nebraska,0.611,0.603,0.569,804245,794379,1316915,1396507,0.04700000,4466,14260,1383,13407,
2012,65,29,Nevada,0.565,0.564,0.482,1016664,1014918,1800969,2105976,0.13300000,12883,11321,5379,24262,
2012,4,30,New Hampshire,0.709,0.702,0.678,718700,710972,1013420,1047978,0.03000000,2672,0,0,2672,
2012,12,31,New Jersey,0.622,0.615,0.532,3683638,3640292,5918182,6847503,0.12100000,21759,114886,14987,97636,
2012,66,32,New Mexico,0.548,0.546,0.498,786522,783757,1436363,1573400,0.07300000,6553,21381,5078,22963,
2012,13,33,New York,0.535,0.531,0.461,7128852,7074723,13324107,15344671,0.12500000,49889,0,46222,96111,
2012,47,34,North Carolina,0.654,0.648,0.601,4542488,4505372,6947954,7496980,0.06100000,35567,96070,4359,90843,
2012,36,35,North Dakota,0.604,0.598,0.587,325564,322627,539164,549955,0.01700000,1500,0,0,1500,
2012,24,36,Ohio,0.651,0.645,0.627,5632423,5580822,8649495,8896930,0.02200000,50313,0,0,50313,
2012,53,37,Oklahoma,,0.492,0.463,,1334872,2713268,2885093,0.04500000,25225,25506,2310,41053,
2012,72,38,Oregon,0.642,0.631,0.587,1820507,1789270,2836101,3050747,0.06600000,13607,0,0,13607,
2012,14,39,Pennsylvania,,0.595,0.572,,5742040,9651432,10037099,0.03300000,50054,0,0,50054,
2012,5,40,Rhode Island,,0.58,0.534,,446049,768918,834983,0.07500000,3249,0,0,3249,
2012,48,41,South Carolina,0.568,0.563,0.536,1981516,1964118,3486838,3662322,0.03500000,21895,34945,6116,46532,
2012,37,42,South Dakota,0.601,0.593,0.576,368270,363815,613190,631472,0.01900000,3574,0,2761,6335,
2012,54,43,Tennessee,0.523,0.519,0.494,2478870,2458577,4736084,4976284,0.03300000,28135,64430,13138,75421,
2012,49,44,Texas,,0.496,0.417,,7993851,16119973,19185395,0.13500000,157564,405473,112288,484753,
2012,67,45,Utah,0.561,0.555,0.514,1028786,1017440,1833339,1978956,0.07000000,6611,0,0,6611,
2012,6,46,Vermont,0.612,0.607,0.596,301793,299290,493355,502242,0.01800000,0,0,0,0,
2012,40,47,Virginia,0.666,0.661,0.607,3888186,3854489,5834676,6348827,0.07100000,36425,52956,1983,66475,
2012,73,48,Washington,0.658,0.648,0.586,3172939,3125516,4822060,5329782,0.08200000,16355,88339,8895,72070,
2012,56,49,West Virginia,,0.463,0.455,,670438,1447066,1472642,0.00800000,7052,8573,2052,13648,
2012,25,50,Wisconsin,,0.729,0.695,,3068434,4209370,4417273,0.03200000,21987,46328,20023,66564,
2012,68,51,Wyoming,0.59,0.586,0.564,250701,249061,425142,441726,0.02500000,2163,5162,762,5661,
