Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2008-DE,2008,DE,Delaware,0.6579999999999999,0.6559999999999999,0.606,413562.0,412398.0,628200,680493,0.053,7075,17216,551,15959
2008-FL,2008,FL,Florida,0.6659999999999999,0.6609999999999999,0.5760000000000001,8453743.0,8390744.0,12687407,14558436,0.11199999999999999,102388,279760,4528,244532
2008-GA,2008,GA,Georgia,0.627,0.625,0.556,3940705.0,3924440.0,6281872,7063638,0.073,52719,397081,23448,262984
2008-HI,2008,HI,Hawaii,0.49,0.488,0.43799999999999994,456064.0,453568.0,930067,1036088,0.09699999999999999,5955,0,0,5955
2008-ID,2008,ID,Idaho,0.648,0.636,0.586,667506.0,655032.0,1029416,1117842,0.049,7290,49513,3361,33727
2008-IL,2008,IL,Illinois,0.643,0.636,0.574,5578195.0,5523051.0,8681138,9615700,0.092,45474,0,0,45474
2008-IN,2008,IN,Indiana,0.603,0.591,0.57,2805986.0,2751054.0,4653019,4826231,0.03,28322,0,0,28322
2008-IA,2008,IA,Iowa,0.6970000000000001,0.6940000000000001,0.669,1543662.0,1537123.0,2216094,2298515,0.026000000000000002,8766,22958,3159,21825
2008-KS,2008,KS,Kansas,0.635,0.62,0.588,1264208.0,1235872.0,1991759,2100084,0.042,8539,16263,4958,19150
2008-KY,2008,KY,Kentucky,0.59,0.579,0.557,1858578.0,1826508.0,3152629,3277617,0.022000000000000002,21706,51035,12277,53362
2008-LA,2008,LA,Louisiana,0.618,0.612,0.5870000000000001,1979852.0,1960761.0,3205794,3342279,0.02,38381,40025,24636,70712
2008-ME,2008,ME,Maine,0.718,0.706,0.696,744456.0,731163.0,1036242,1049816,0.013000000000000001,0,0,0,0
2008-MD,2008,MD,Maryland,0.6779999999999999,0.67,0.606,2661905.0,2631596.0,3925117,4342850,0.078,23324,96360,13220,78114
2008-MA,2008,MA,Massachusetts,0.6729999999999999,0.6679999999999999,0.609,3102995.0,3080985.0,4612550,5058035,0.086,11408,0,0,11408
2008-MI,2008,MI,Michigan,0.6970000000000001,0.6920000000000001,0.664,5039080.0,5001766.0,7229512,7528460,0.033,48738,0,0,48738
2008-MN,2008,MN,Minnesota,0.7809999999999999,0.778,0.732,2921147.0,2910369.0,3740142,3975974,0.04,9910,127627,5081,76264
2008-MS,2008,MS,Mississippi,0.0,0.61,0.589,0.0,1289856.0,2113347,2190402,0.019,22754,22267,2922,35349
2008-MO,2008,MO,Missouri,0.682,0.6759999999999999,0.649,2950504.0,2925205.0,4327572,4507688,0.025,30186,57360,20683,69208
2008-MT,2008,MT,Montana,0.6709999999999999,0.6629999999999999,0.6509999999999999,497599.0,491960.0,741853,755384,0.013000000000000001,3545,0,0,3545
2008-NE,2008,NE,Nebraska,0.637,0.629,0.594,811923.0,801281.0,1274719,1348048,0.043,4520,19606,846,14746
